"","","",所屬里別,所屬鄰別,""
"臺中市大甲 第0001 開票所",文昌國小( ),臺中市大甲 孔門里５鄰育德路１１３號,朝 里,全里,""
"臺中市大甲 第0002 開票所",文昌國小(二),臺中市大甲 孔門里５鄰育德路１１３號,大甲里,全里,""
"臺中市大甲 第0003 開票所",天國小( ),"臺中市大甲 新美里１８鄰 國路１６８號",天里,1﹣12,""
"臺中市大甲 第0004 開票所",天國小(二),"臺中市大甲 新美里１８鄰 國路１６８號",天里,13﹣19,""
"臺中市大甲 第0005 開票所",大甲文昌祠管 所,臺中市大甲 孔門里５鄰文武路１１６號,孔門里,全里,""
"臺中市大甲 第0006 開票所",文昌國小(三),臺中市大甲 孔門里５鄰育德路１１３號,平安里,1﹣6,""
"臺中市大甲 第0007 開票所",文昌國小(四),臺中市大甲 孔門里５鄰育德路１１３號,平安里,7﹣13,""
"臺中市大甲 第0008 開票所",天國中( ),"臺中市大甲 美里１２鄰大安港路６７號",美里,1﹣7,""
"臺中市大甲 第0009 開票所",天國中(二),"臺中市大甲 美里１２鄰大安港路６７號",美里,8﹣15,""
"臺中市大甲 第0010 開票所",天國小(三),"臺中市大甲 新美里１８鄰 國路１６８號",新美里,1﹣9,""
"臺中市大甲 第0011 開票所",天國小(四),"臺中市大甲 新美里１８鄰 國路１６８號",新美里,10﹣16,""
"臺中市大甲 第0012 開票所",天國小(五),"臺中市大甲 新美里１８鄰 國路１６８號",新美里,17﹣22,""
"臺中市大甲 第0013 開票所",大甲國小( ),"臺中市大甲 文武里２０鄰育德路２３３號",岷山里,1﹣6,""
"臺中市大甲 第0014 開票所",大甲國小(二),"臺中市大甲 文武里２０鄰育德路２３３號",岷山里,7﹣12,""
"臺中市大甲 第0015 開票所",東 國小( ),"臺中市大甲 中山里１０鄰甲東路５２０號",中山里,1﹣8,""
"臺中市大甲 第0016 開票所",東 國小(二),"臺中市大甲 中山里１０鄰甲東路５２０號",中山里,9﹣17,""
"臺中市大甲 第0017 開票所",東 國小(三),"臺中市大甲 中山里１０鄰甲東路５２０號",中山里,18﹣23,""
"臺中市大甲 第0018 開票所",大甲高中( ),"臺中市大甲 南 里１１鄰中山路１ ７２０號",南 里,全里,""
"臺中市大甲 第0019 開票所",大甲高中(二),"臺中市大甲 南 里１１鄰中山路１ ７２０號",薰風里,全里,""
"臺中市大甲 第0020 開票所","新義和里社 中心( )","臺中市大甲 義和里１２鄰 國路２１巷９號",義和里,1﹣8,""
"臺中市大甲 第0021 開票所","新義和里社 中心(二)","臺中市大甲 義和里１２鄰 國路２１巷９號",義和里,9﹣15,""
"臺中市大甲 第0022 開票所",武陵社 中心,臺中市大甲 武陵里９鄰文曲路８１號,武陵里,全里,""
"臺中市大甲 第0023 開票所","文曲社 中心(新)","臺中市大甲 文曲里５鄰東安路４９７巷１８號",文曲里,全里,""
"臺中市大甲 第0024 開票所","大甲體育 休息室( )",臺中市大甲 武曲里１０鄰大安港路２號,武曲里,1﹣6,""
"臺中市大甲 第0025 開票所","大甲體育 休息室(二)",臺中市大甲 武曲里１０鄰大安港路２號,武曲里,7﹣11,""
"臺中市大甲 第0026 開票所",大甲國中( ),臺中市大甲 文武里８鄰育英路１８６號,文武里,1﹣5,""
"臺中市大甲 第0027 開票所",大甲國中(二),臺中市大甲 文武里８鄰育英路１８６號,文武里,6﹣16,""
"臺中市大甲 第0028 開票所",大甲國中(三),臺中市大甲 文武里８鄰育英路１８６號,文武里,17﹣23,""
"臺中市大甲 第0029 開票所",大甲國中(四),臺中市大甲 文武里８鄰育英路１８６號,文武里,24﹣27,""
"臺中市大甲 第0030 開票所",大甲國中(五),臺中市大甲 文武里８鄰育英路１８６號,奉化里,1,2,10,11,""
"","","",所屬里別,所屬鄰別,""
"臺中市大甲 第0031 開票所",奉化社 中心,"臺中市大甲 奉化里５鄰賢仁路６８－１６號",奉化里,3﹣9,""
"臺中市大甲 第0032 開票所",德化國小( ),臺中市大甲 德化里１鄰和平路２９０號,德化里,1﹣6,""
"臺中市大甲 第0033 開票所",德化國小(二),臺中市大甲 德化里１鄰和平路２９０號,德化里,7﹣11,""
"臺中市大甲 第0034 開票所",江南社 中心,"臺中市大甲 江南里７鄰東西六路１１１號",江南里,全里,""
"臺中市大甲 第0035 開票所",紫 寺,"臺中市大甲 頂店里４鄰中山路１ １１５８巷４６號",頂店里,1﹣7,""
"臺中市大甲 第0036 開票所",新頂店社 中心,"臺中市大甲 頂店里１４鄰彈正路５１巷１號之１０",頂店里,8﹣15,""
"臺中市大甲 第0037 開票所",頂店社 中心,"臺中市大甲 頂店里１３鄰彈正路３７號之１",頂店里,16﹣22,""
"臺中市大甲 第0038 開票所",太白社 中心,"臺中市大甲 太白里１鄰通天路１１０號之２",太白里,全里,""
"臺中市大甲 第0039 開票所",日南國中( ),"臺中市大甲 孟 里１鄰中山路２ ６９之１１號",孟 里,1﹣6,""
